"model","deviceCategory","deviceSku","simSku","prepaidSku","cpoSku","cpoPrepaidSku","visionSku","upcCode","url"
"GEAR4 Havana Case Black for Samsung Galaxy S21 FE","","GEA702008874-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24558.html"
"OtterBox Symmetry Series for Samsung Galaxy S21 FE - Clear","","77-83967","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24515.html"
"OtterBox Symmetry Series for Samsung Galaxy S21 FE - Black","","77-83960","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24514.html"
"Samsung Silicone Cover for Samsung Galaxy S21 FE 5G - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24638.html"
"Samsung Silicone Cover for Samsung Galaxy S21 FE 5G - Lavender","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24639.html"
"OtterBox Defender Series Pro for Samsung Galaxy S21 FE - Black","","77-85101","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24513.html"
"UAG Pathfinder for Samsung Galaxy S21 FE 5G - Black","","UAG213127114040","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24703.html"
"Samsung Clear Standing Cover for Samsung Galaxy S21 FE 5G - Clear","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24637.html"
"Spigen Core Armor for Samsung Galaxy S21 FE 5G - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=25399.html"
"Case-Mate Twinkle Ombre for Samsung Galaxy S21 FE 5G - Stardust","","CM046292-08","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24748.html"
"Incipio Duo for Samsung Galaxy S21 FE 5G - Salsa Red/Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24753.html"
"Speck Presidio Exotech for Samsung Galaxy S21 FE 5G - Coastal Blue","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26043.html"
"Tech21 Evo Check for Samsung Galaxy S21 FE 5G - Smokey / Black","","T21-9080","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24483.html"
"Pelican Glass Lens Protector for Samsung Galaxy S21 FE 5G (R9) - Clear","","PP051972-08","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=27884.html"
"Verizon Blue Light Tempered Glass Screen Protector for Samsung Galaxy S21 FE 5G - Clear","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24811.html"
"Kate Spade New York Protective Hardshell Case for Samsung Galaxy S21 FE 5G - Hollyhock Floral Clear","","KSSA-076-HHCCS-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24313.html"
"S-Pen Pro - Black","","EJ-P5450SBEVZW","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24712.html"
"Galaxy S22 5G","5G Smartphone","SMS901UZKV","DFILLSIM5G-SA-A","N/A","N/A","N/A","56065","887276598635","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10250.html"
"Galaxy S22 5G VBC","5G Smartphone","SMS901UZKV-VBC","DFILLSIM5G-SA-A","N/A","N/A","N/A","61108","887276598635","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10623.html"
"Galaxy S22 Ultra 5G","5G Smartphone","SMS908UZWV","DFILLSIM5G-SA-A","N/A","N/A","N/A","56106","887276612485","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10270.html"
"Galaxy S22+ 5G","5G Smartphone","SMS906UZGV","DFILLSIM5G-SA-A","N/A","N/A","N/A","56087","887276611655","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10264.html"
"Samsung Leather Cover for Samsung Galaxy S22 - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26220.html"
"InvisibleShield Fusion XTR for Samsung Galaxy S22","","ZAG200309345-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26057.html"
"Samsung LED View Cover for Samsung Galaxy S22 - Black","","EF-NS901PBEVZW","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26226.html"
"Samsung Clear Standing Cover for Samsung Galaxy S22 - Clear","","EF-JS901CTEVZW","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26223.html"
"OtterBox Symmetry for Samsung Galaxy S22 - Black","","77-86477","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26133.html"
"OtterBox Commuter for Samsung Galaxy S22 - Black","","77-88013","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26130.html"
"Verizon Clear Screen Protector for Samsung Galaxy S22","","PVYBM1-SSJ12J2","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26397.html"
"Samsung Clear Standing Cover for Samsung Galaxy S22 Ultra - Clear","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26225.html"
"S-Pen for Samsung Galaxy S22 Ultra - Black","","EJ-PS908BBEVZW","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26396.html"
"Case-Mate Twinkle for Samsung Galaxy S22 - Diamond","","CM048036-08","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26044.html"
"OtterBox Symmetry Clear for Samsung Galaxy S22 - Clear","","77-86553","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26131.html"
"UAG Pathfinder case for Samsung Galaxy S22 - Black","","UAG213427114040","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26084.html"
"OtterBox Symmetry for Samsung Galaxy S22 - Stone Swirl","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26326.html"
"OtterBox Defender Pro for Samsung Galaxy S22 - Black","","77-86588","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26127.html"
"Verizon Slim Case for Samsung Galaxy S22 - Clear","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26406.html"
"Verizon Blue Light Screen Protector for Samsung Galaxy S22","","PVY2M1-SSJ12J2","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26401.html"
"Verizon Slim Case for Samsung Galaxy S22 - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26403.html"
"OtterBox Commuter for Samsung Galaxy S22 - Maven Way","","77-87933","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26129.html"
"OtterBox Commuter for Samsung Galaxy S22 Ultra - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26147.html"
